Time,YawBrTAxp,YawBrTAyp,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi
0.0,-1.5368636854127416e-05,1.7135776841840424e-06,-4.348486128997926e-06,-2.276824822717298e-08,2.000000162782857,6.085808793372343e-08,-9.50344137917275e-06,-6.48548062191712e-07
0.2,-0.0010913169765872875,1.25724089821694e-05,1.9143507682325984e-05,-2.2255607882180493e-07,1.9947020412220184,5.568893227397864e-07,4.655911394611578e-05,-4.6963098872295885e-06
0.4,-0.005223305840480784,9.964572832607352e-05,0.00013805556444899974,-2.8687494834512235e-06,1.9787778944242471,6.708608509992396e-06,0.00031782515428247095,-3.251151796686521e-05
0.6,-0.013204882314030266,0.0003038218657224707,0.0003716480175584928,-1.01979124069807e-05,1.952258906370211,2.286859484590965e-05,0.0008122507523010396,-9.875066127712052e-05
0.8,-0.021273578512885877,0.0004465381053675754,0.0005894904640244239,-1.547631472219258e-05,1.9154172058863141,3.1550252514092855e-05,0.0011576178506395723,-0.00014892225521035633
1.0,-0.024151261512905878,0.0002697801864594357,0.0006090333054286548,-7.42022854795628e-06,1.8687169884449062,5.2924491485503735e-06,0.0008611586277608601,-0.00011115620157373774
1.2,-0.021534650448933042,-0.00024983947392718603,0.00037183187361449654,1.5586026550390067e-05,1.812583011986895,-5.8076769591088784e-05,-0.0002360189287112234,-1.0688282878127127e-05
1.4,-0.017425127046390924,-0.0008471592008619126,-5.877267276230067e-06,4.2538670537232894e-05,1.7473466670187336,-0.00012826837168778514,-0.0018395455237960937,5.466479078325168e-05
1.6,-0.015334711984521285,-0.0011573310857365881,-0.00041860144998764816,5.596980812580946e-05,1.6734470903832575,-0.00015939697351388646,-0.0036684932957267383,2.0484173824450912e-05
1.8,-0.013397513539783284,-0.0009725792551263736,-0.0008968082160912136,4.4396333132841116e-05,1.5915324658223444,-0.00012216787325691354,-0.00577186342268698,-6.533876005102563e-05
2.0,-0.008890671451959015,-0.00023921541869149253,-0.0014636584656151377,7.664994524490825e-06,1.5022996386958882,-1.820156913190713e-05,-0.008179589103922852,-0.00011199452977942932
2.2,-0.0036655129186161156,0.0008818871711901932,-0.0020200746349050176,-4.2976880429920955e-05,1.4063250766705073,0.0001194569414485915,-0.010614907252805726,-0.00010388518269705875
2.4,-0.0015424916615049227,0.001842694995378258,-0.0024072253134313913,-8.285546301335074e-05,1.3041346859288505,0.00022359863063604825,-0.012657916201938894,-7.765365133334172e-05
2.6,-0.004393596996695979,0.0019589723069676577,-0.002581656306099068,-8.471268965277914e-05,1.1963996853106689,0.00022297217534824904,-0.014187356817950518,-5.5059804621676506e-05
2.8,-0.00940449377549056,0.00092219214532174,-0.0026748324793752776,-3.744123445880567e-05,1.0839440931967554,9.178051083125332e-05,-0.015528398277169333,-2.119063678537499e-05
3.0,-0.014146048136967425,-0.000760306399159573,-0.00280254671925053,3.8775100104337804e-05,0.9675431830770664,-0.00011308470698735145,-0.016985671379225433,1.8717203517374998e-05
3.2,-0.019381128317482642,-0.00204447272070411,-0.00298195212891277,9.949551748992227e-05,0.8478205511805602,-0.00027364372917731137,-0.01863242776895294,8.217111033411148e-06
3.4,-0.02459705578242298,-0.0022119872647535094,-0.003230192674030464,0.0001083776925355536,0.7253937529551737,-0.0002951253146275894,-0.020545417058815563,-6.877020144285317e-05
3.6,-0.027045217126280958,-0.0012415227471548871,-0.003630055038435496,6.0868408492653976e-05,0.6010280985963435,-0.0001670217147886099,-0.02295401781431846,-0.00014642335639211327
3.8,-0.023284129958245588,0.00029301212034569374,-0.004273789784611391,-1.4272643514543813e-05,0.47554442579382855,3.4083260274015657e-05,-0.02608203956168773,-0.0001428694599738629
4.0,-0.014936965901849298,0.0015901065923016413,-0.005086413580226802,-7.443424672168136e-05,0.3496241826973031,0.00019563567423299652,-0.02971261663158634,-5.9498095749502326e-05
4.2,-0.008214210430727342,0.0019934014494272113,-0.005862654493939546,-8.855063556414614e-05,0.22381213116541285,0.0002351840844244855,-0.03329390151644833,1.2013407167993567e-05
4.4,-0.006051484255458054,0.0012175036200567204,-0.0064886962255650445,-5.052998181074461e-05,0.0986998114627715,0.00013685339597322812,-0.036503681418232174,1.358509108673119e-05
4.6,-0.007071448580101249,-0.0002903010507983244,-0.006997552700315907,1.527662653607046e-05,-0.025002646709032173,-3.4637846284423474e-05,-0.0394005169541944,-2.9413568343388022e-05
4.8,-0.008114205012257972,-0.0014805011924615987,-0.007470505746268077,6.603490908440343e-05,-0.14662384211613977,-0.0001665564021607609,-0.04217747829328533,-6.585670314064108e-05
5.0,-0.009268459734326561,-0.0014794234763396959,-0.007889425357106064,6.803193056245486e-05,-0.2656696241529786,-0.00017141908274490657,-0.0447953115580151,-8.350594860686145e-05
5.2,-0.013048574425575617,-0.00033163586771706567,-0.008185006340639678,2.1327598770232047e-05,-0.3817251664873494,-5.102054068421624e-05,-0.04710009827146772,-0.00010275147440939864
5.4,-0.018383087177525834,0.000973175676567677,-0.008411933502518652,-3.664236054966333e-05,-0.494277203245591,9.678161015956774e-05,-0.04924744550881072,-0.00010561261789380052
5.6,-0.022456157747239403,0.0014337720279931165,-0.008704961716655185,-6.081040845572603e-05,-0.6027323647718542,0.00015609407296537922,-0.05159125194897351,-6.003117973116141e-05
5.8,-0.023671343691313077,0.0008043381047894399,-0.00914579196099473,-3.299489033112256e-05,-0.7066029982928187,8.169047006471216e-05,-0.05434952278284829,1.0135281344573115e-05
